chave,qualis,ano,periodico,titulo,doi
massuda_2018_brazilian,A1,2018,BMJ Global Health,"The Brazilian health system at crossroads: progress, crisis and resilience",10.1136/bmjgh-2018-000829
barcellos_2005_lenda,A1,2005,Cadernos de Saúde Pública,A lenda urbana sobre internações devidas à falta de saneamento,10.1590/s0102-311x2005000400001
correia_2014_metodos,A1,2014,Ciência &amp; Saúde Coletiva,Métodos para avaliar a completitude dos dados dos sistemas de informação em saúde do Brasil: uma revisão sistemática,10.1590/1413-812320141911.02822013
chaves_2017_compras,A1,2017,Ciência &amp; Saúde Coletiva,Compras públicas de medicamentos para hepatite C no Brasil no período de 2005 a 2015,10.1590/1413-81232017228.05602017
carvalho_2021_desigualdades,A1,2021,Ciência &amp; Saúde Coletiva,Desigualdades regionais e o papel dos recursos federais no SUS: fatores políticos condicionam a alocação de recursos?,10.1590/1413-81232021269.2.31192019
funcia_2019_subfinanciamen,A1,2019,Ciência &amp; Saúde Coletiva,Subfinanciamento e orçamento federal do SUS: referências preliminares para a alocação adicional de recursos,10.1590/1413-812320182412.25892019
cohn_2005_equidade,A1,2005,Ciência &amp; Saúde Coletiva,"Eqüidade, saúde e critérios para alocação de recursos",10.1590/s1413-81232005000200003
santos-neto_2017_analise,A1,2017,Ciência &amp; Saúde Coletiva,"Análise do financiamento e gasto do Sistema Único de Saúde dos municípios da região de saúde Rota dos Bandeirantes do estado de São Paulo, Brasil",10.1590/1413-81232017224.28452016
rodrigues_2021_eficiencia,A1,2021,Ciência &amp; Saúde Coletiva,"Eficiência do gasto público em atenção primária em saúde nos municípios do Rio de Janeiro, Brasil: escores robustos e seus determinantes",10.1590/1413-81232021269.2.04342020
cotrim-junior_2020_crescimento,A2,2020,Physis: Revista de Saúde Coletiva,Crescimento dos leitos de UTI no país durante a pandemia de Covid-19: desigualdades entre o público x privado e iniquidades regionais,10.1590/s0103-73312020300317
viacava_2019_desigualdades,A1,2019,Ciência &amp; Saúde Coletiva,"Desigualdades regionais e sociais em saúde segundo inquéritos domiciliares (Brasil, 1998-2013)",10.1590/1413-81232018247.15812017
boccolini_2011_relacao,A2,2011,Epidemiologia e Serviços de Saúde,"Relação entre aleitamento materno e internações por doenças diarreicas nas crianças com menos de um ano de vida nas Capitais Brasileiras e Distrito Federal, 2008",10.5123/s1679-49742011000100003
paiva_2018_associacao,A1,2018,Cadernos de Saúde Pública,"Associação entre condições socioeconômicas, sanitárias e de atenção básica e a morbidade hospitalar por doenças de veiculação hídrica no Brasil",10.1590/0102-311x00017316
duarte_2019_variabilidade,A1,2019,Ciência &amp; Saúde Coletiva,Variabilidade climática e internações por doenças diarreicas infecciosas em um município da Amazônia Ocidental brasileira,10.1590/1413-81232018248.21232017
neves-silva_2016_direito,A1,2016,Ciência &amp; Saúde Coletiva,O direito humano à água e ao esgotamento sanitário como instrumento para promoção da saúde de populações vulneráveis,10.1590/1413-81232015216.03422016
neves-silva_2018_gente,A1,2018,Cadernos de Saúde Pública,"“A gente tem acesso de favores, né?”. A percepção de pessoas em situação de rua sobre os direitos humanos à água e ao esgotamento sanitário",10.1590/0102-311x00024017
lima_2009_revisao,A1,2009,Cadernos de Saúde Pública,Revisão das dimensões de qualidade dos dados e métodos aplicados na avaliação dos sistemas de informação em saúde,10.1590/s0102-311x2009001000002
silva_2009_linkage,A1,2009,Cadernos de Saúde Pública,Linkage entre bancos de dados de nascidos vivos e óbitos infantis em município do Nordeste do Brasil: qualidade dos sistemas de informação,10.1590/s0102-311x2009000700013
luiz_2009_diferenciais,A1,2009,Revista de Saúde Pública,Diferenciais intermunicipais de condições de vida e saúde: construção de um indicador composto,10.1590/s0034-89102009000100015
mendes_2011_discutindo,A2,2011,Saúde e Sociedade,Discutindo uma Metodologia para a Alocação Equitativa de Recursos Federais para o Sistema Único de Saúde,10.1590/s0104-12902011000300013
